premise,hypothesis,label
"Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena",Ntabwo narinongera kumuvugisha ,contradiction
"Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena",Narimfite intimba nisanga nongeye kumuvugisha ,entailment
"Urebye, ntabwo nigeze ntekereza kuribyo, ariko narumiwe cyane, ndangije nongeye kumuvugisha tena",Twagiranye ikiganiro kiza,neutral
"Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure",Ntabwo bigeze bambwira ikintu kijyanye noo guhura numuntu,contradiction
"Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure",bambwiye ko hari umusore bazahamagara ngo duhure ,entailment
"Bambwiye ko, uh, ko bazahamagara umusore turangije kugirango duhure",Umusore yahageze atinze,neutral
Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke,Nshaka kukubwira ibyonzi byose byerekarenye nabyo,contradiction
Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke,"Ntabwo nzabivugaho, nubwo hari byinshi byo kuvuga kuribyo",entailment
Hariho byinshi ushobora kuvuga kuri ibyo ariko ndi bubisimbuke,Ntabwo mvuga amateka yumujyi kuko hari byinshi byo kuvuga,neutral
Ntabwo rero nzi impamvu,Nzi neza impamvu yabiteye,contradiction
Ntabwo rero nzi impamvu,Ntabwo nzi impamvu yahinduye amashuri,neutral
Ntabwo rero nzi impamvu,Sinzi impamvu ibyo byabaye,entailment
"ninjye wenyine uh, wigeze ukora ubugenzuzi bwi, ikizamini mubyumba bito bito",Sinakundaga kuba arinjyenyine uyobora ubugenzuzi kubizamini,neutral
"ninjye wenyine uh, wigeze ukora ubugenzuzi bwi, ikizamini mubyumba bito bito",Ibizimini byakorewe mubyumba bito bito ,entailment
"ninjye wenyine uh, wigeze ukora ubugenzuzi bwi, ikizamini mubyumba bito bito",Hariho bake muri twe bayoboraga ubugenzuzi bwo gukora ikizimani,contradiction
"Ndi uh, Umuyobozi mukuru Serija, yarasezeye, nkuko Rick yabivuze",Ndacyakora kugeza na nubu,contradiction
"Ndi uh, Umuyobozi mukuru Serija, yarasezeye, nkuko Rick yabivuze",Nasezeye muri 2002,neutral
"Ndi uh, Umuyobozi mukuru Serija, yarasezeye, nkuko Rick yabivuze",Rick yakubwiye ko nasezeye,entailment
"Hano hari amafaranga ateganijwe kumeza yanjye kandi, um, uh, ni kuri bene Cutty, iryo niryo zina ryumukiriya",Umukiriya witwa Cutty abona $10000 buri kwezi,neutral
"Hano hari amafaranga ateganijwe kumeza yanjye kandi, um, uh, ni kuri bene Cutty, iryo niryo zina ryumukiriya",Uyu numukiriya witwa Cutty,entailment
"Hano hari amafaranga ateganijwe kumeza yanjye kandi, um, uh, ni kuri bene Cutty, iryo niryo zina ryumukiriya",Ntabakiriya tugira bitwa Cutty,contradiction
Umukobwa ushobora nkufasha ari munzira yerekeranye no mumujyi,Umukobwa nkeneye ko amfasha aba kure,entailment
Umukobwa ushobora nkufasha ari munzira yerekeranye no mumujyi,Umukobwa ugiye kumfasha ari murikilometero 5,neutral
Umukobwa ushobora nkufasha ari munzira yerekeranye no mumujyi,Ntamuntu ushobora kumfasha ,contradiction
"Ariko baribagabanyijwe nkabari abafasha mumurima nabo gukora murugo, nuko byari bimeze",Bose bemejeko bazakorera mumurima,contradiction
"Ariko baribagabanyijwe nkabari abafasha mumurima nabo gukora murugo, nuko byari bimeze",Ntibashoboraga kumvikana ninde wari gukorera mumurima nuwo gukorera murugo,entailment
"Ariko baribagabanyijwe nkabari abafasha mumurima nabo gukora murugo, nuko byari bimeze",Ntibashoboraga kwemeranya ninde ugomba gukora mumurima w ipamba nande ugomba gukoropa hasi,neutral
"Ndashaka kuvuga ko bafite, nka, babyaranye abana batanu, umwe muri bo yarapfuye",Abana babo bose bararokotse,contradiction
"Ndashaka kuvuga ko bafite, nka, babyaranye abana batanu, umwe muri bo yarapfuye",Umwana umwe muribo batanu yarapfuye,entailment
"Ndashaka kuvuga ko bafite, nka, babyaranye abana batanu, umwe muri bo yarapfuye",Umwana wapfuye yavutse arwaye,neutral
"Yavuze ko hari amarira aturutse mu maso ati, noneho abwira Joe azamuke ku rubaraza",Ubwo yamubwiraga kuzamuka ku rubaraza yari afite amarira mu maso ye,entailment
"Yavuze ko hari amarira aturutse mu maso ati, noneho abwira Joe azamuke ku rubaraza",Yahise ahanagura amarira nyuma yo gusukuma Joe ku rubaraza,contradiction
"Yavuze ko hari amarira aturutse mu maso ati, noneho abwira Joe azamuke ku rubaraza",Yishimiye cyane kubona Joe ku buryo yatangiye kurira,neutral
"Nubwo indege yaririkwaka umuriro, kuki yashya kandi igashonga ikoresheje icyerekezo kugirango imirasire isohoke",Imirasire irashobora kugabanywa mugihe cyumuriro,neutral
"Nubwo indege yaririkwaka umuriro, kuki yashya kandi igashonga ikoresheje icyerekezo kugirango imirasire isohoke",Imirasire ishobora gutemba mu gice kiyobora indege imaze gushya,entailment
"Nubwo indege yaririkwaka umuriro, kuki yashya kandi igashonga ikoresheje icyerekezo kugirango imirasire isohoke",Imirasire ntishobora gusohoka mugihe cy'umuriro,contradiction
"Uyu ni Umuyobozi mukuru Serija Clem Francis, wasezeye mu ngabo zirwanira mu kirere muri Amerika",Umutware yasezeye mu ngabo zirwanira mu kirere muri Amerika,entailment
"Uyu ni Umuyobozi mukuru Serija Clem Francis, wasezeye mu ngabo zirwanira mu kirere muri Amerika",Umutware aherutse gusezera mu byumweru bike bishize,neutral
"Uyu ni Umuyobozi mukuru Serija Clem Francis, wasezeye mu ngabo zirwanira mu kirere muri Amerika",Umuyobozi w'ingabo zirwanira mu kirere muri Amerika yatangiye umwuga we muri iki cyumweru,contradiction
Byageze aho hari indege ebyiri cyangwa eshatu zihagera mucyumweru kandi sinari nzi aho ziguruka zigana,Indege zirenga imwe zihagera buri cyumweru,entailment
Byageze aho hari indege ebyiri cyangwa eshatu zihagera mucyumweru kandi sinari nzi aho ziguruka zigana,Ubwiyongere bwa ambuteyaje yindege buragoye,neutral
Byageze aho hari indege ebyiri cyangwa eshatu zihagera mucyumweru kandi sinari nzi aho ziguruka zigana,Nta ndege zijya zihagera,contradiction
Bamaze kugira imyitozo mumyenda yuzuye yumuvuduko kandi byantwaye igihe niba ugiye mumyenda yumuvuduko  yuzuye,Bifata amezi agera kuri atatu kugirango urangize amahugurwa yo gukoresha ikositimu yumuvuduko yuzuye,neutral
Bamaze kugira imyitozo mumyenda yuzuye yumuvuduko kandi byantwaye igihe niba ugiye mumyenda yumuvuduko  yuzuye,Amahugurwa yo gukoresha ikositimu yumuvuduko yuzuye ifata igihe,entailment
Bamaze kugira imyitozo mumyenda yuzuye yumuvuduko kandi byantwaye igihe niba ugiye mumyenda yumuvuduko  yuzuye,Turashobora kugutoza gukoresha ikositimu yumuvuduko yuzuye mbere yuko umunsi umwe urangira,contradiction
"Nashakaga kuvuga ko nta akaga ko kwinjirana bombe kuko itari guturika, tutitaye nu kuntu yakubise hasi",Icyibombe cyari cyarahagaritswe nujyendesha indege,neutral
"Nashakaga kuvuga ko nta akaga ko kwinjirana bombe kuko itari guturika, tutitaye nu kuntu yakubise hasi",Igisasu nticyari gifite amahirwe yo guturika ,entailment
"Nashakaga kuvuga ko nta akaga ko kwinjirana bombe kuko itari guturika, tutitaye nu kuntu yakubise hasi",Hariho akaga gakomeye mu guturika kwigisasu,contradiction
Kandi burya bisa neza nibyo ndikugerageza gukora,Sinzi neza uko ibi bisa kuri wowe,contradiction
Kandi burya bisa neza nibyo ndikugerageza gukora,"Ndikugerageza gukora ibi, nkuko bigaragara",entailment
Kandi burya bisa neza nibyo ndikugerageza gukora,Ndikugerageza kurangiza umushinga wanjye mucyumweru gitaha,neutral
"Ariko uko byagenda kose, inyamaswa zikundi kwirekuza igihe cyose, cyane cyane ihene",Ihene zahungaga ikiraro cyazo buri munsi,neutral
"Ariko uko byagenda kose, inyamaswa zikundi kwirekuza igihe cyose, cyane cyane ihene",Ihene zatorokaga kenshi,entailment
"Ariko uko byagenda kose, inyamaswa zikundi kwirekuza igihe cyose, cyane cyane ihene",Ihene zabitswe neza kandi zifite umutekano,contradiction
Inzugi zarafunzwe tumaze kwinjira,Inzugi zose zarizifunguye,contradiction
Inzugi zarafunzwe tumaze kwinjira,nitwe twari dufite imfunguzo ,neutral
Inzugi zarafunzwe tumaze kwinjira,Twarinjiye nubwo imiryango yari ifunze,entailment
Nibwirije rero gufata ibiteranyo ngerageza kubikemura uko biri,Ndumva nizeye ko ibiteranyo aribyo nkeneye kugirango ibi bikemurwe,neutral
Nibwirije rero gufata ibiteranyo ngerageza kubikemura uko biri,"Nta kimenyetso mfite cyo gukoresha imiteranyo gusa,ndakwinginze umpe ibisobanuro birambuye kugirango menye uko nacyemura iki kibazo",contradiction
Nibwirije rero gufata ibiteranyo ngerageza kubikemura uko biri,Nzabibara nkurikije byose hamwe,entailment
kandi ibyo ni byinshi muri byo biterwa nuko banyina bari kumiti,Ababyeyi ni abanywa ibiyobyabwenge,neutral
kandi ibyo ni byinshi muri byo biterwa nuko banyina bari kumiti,Ababyeyi ntabwo bafite inyandiko yimiti cyangwa imiti ,contradiction
kandi ibyo ni byinshi muri byo biterwa nuko banyina bari kumiti,Ababyeyi banywa imiti,entailment
"Yego nibyiza rwose,hari ubwo imvura yaguye",Ntabwo nanga imvura,neutral
"Yego nibyiza rwose,hari ubwo imvura yaguye",Nibyiza kandi imvura iragwa ,entailment
"Yego nibyiza rwose,hari ubwo imvura yaguye",Biteye ubwoba cyane ibyiri izuba ritajya rirangira,contradiction
"Burya ubuzima bwabantu bufite agaciro, kandi niba ushobora kugorora umuntu",Ubuzima bwose bwagororwa kandi no guhabwa amahirwe ya kabiri,neutral
