premise,hypothesis,label
"Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. ",Khange ndithethe naye. ,contradiction
"Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. ",Ndandinomsindi kakhulu ngokuba nje ndaye ndaqala ukuthetha naye. ,entailment
"Ke, bendingayicingi kwa lonto, kodwa bendikhathazeke kakhulu, kwaye, ndipheke ndithetha naye kwakhona. ",Saye sathetha kakuhle kakhulu. ,neutral
"Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. ",Andizange ndixelelwe nto ngokudibana nomntu. ,contradiction
"Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. ",Ndaye ndaxelelwa ukuba kuzakubizwa umfana sidibane. ,entailment
"Bandixelela ukuba, yhu, kuzakubizwa numfana ekugqibeleni sidibane. ",Umfana wafika emva kwexesha.,neutral
Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. ,Ndifuna ukuxelela yonke into endiyaziyo ngalo nto. ,contradiction
Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. ,"Andizukuthetha ngaloo nto, nangona kuninzi ekufuneka kugutyungelwe.",entailment
Ininzi kakhulu into ongathetha ngayo kulo nto ndizakuyidlula nje. ,Andizukuthetha ngembali yedolophu ngokuba ininzi into yokuthetha. ,neutral
Ngoko andiqinisekanga ukuba kutheni.,Ndiqinisekile ngesizathu sokuba kutheni. ,contradiction
Ngoko andiqinisekanga ukuba kutheni.,Andiyazi kwakutheni ukuze atshintshe izikolo.,neutral
Ngoko andiqinisekanga ukuba kutheni.,Andiyazi ukuba kutheni ukuze yenzeke lo nto.  ,entailment
"Yayindim ndodwa owaye uh , soloko eqhuba abalawuli , uvavanyo kwigumbi le althityhudi encinci. ",Zange ndithande ukuba ibendim ndodwa owaqhuba abalawuli kuvavanyo.,neutral
"Yayindim ndodwa owaye uh , soloko eqhuba abalawuli , uvavanyo kwigumbi le althityhudi encinci. ",Uvavanyo zazisenziwa kumagumbi amancinci e-althityhudi.,entailment
"Yayindim ndodwa owaye uh , soloko eqhuba abalawuli , uvavanyo kwigumbi le althityhudi encinci. ",kwakukho abambalwa bethu ababeqhuba abalawuli kuvavanyo.,contradiction
"Ndingu uh ,mphathi oyintloko wapolisa, othathe umhlala phantsi, ngokutsho kukaRick. ",Ndisasebenza nanamhlanje. ,contradiction
"Ndingu uh ,mphathi oyintloko wapolisa, othathe umhlala phantsi, ngokutsho kukaRick. ",Ndathatha umhlala phantsi  ngonyaka wama2002. ,neutral
"Ndingu uh ,mphathi oyintloko wapolisa, othathe umhlala phantsi, ngokutsho kukaRick. ",URick wakuxelela ukuba ndithathe umhlala phantsi. ,entailment
"Kukho uqikelelo lokuhamba kwemali kwidesika yam kwaye, um uh, yenzelwe into enjalo naleyo Cutty. Elo ligama lomxhasi.",Umxhasi obizwa ngokuba nguCutty wenza i10000 yedola ngenyanga. ,neutral
"Kukho uqikelelo lokuhamba kwemali kwidesika yam kwaye, um uh, yenzelwe into enjalo naleyo Cutty. Elo ligama lomxhasi.",Kukho umxhasi ogama linguCutty.,entailment
"Kukho uqikelelo lokuhamba kwemali kwidesika yam kwaye, um uh, yenzelwe into enjalo naleyo Cutty. Elo ligama lomxhasi.",Asinaye umxhasi obizwa ngokuba nguCutty. ,contradiction
Le ntombazana ezondinceda ihlala ngaphaya kwedolophu.,Le ntombazana endidinga uncedo kuyo ihlala kwindlela kude . ,entailment
Le ntombazana ezondinceda ihlala ngaphaya kwedolophu.,Le ntombazana ezakundinceda ihlala kumgama oziimiyile ezi-5.,neutral
Le ntombazana ezondinceda ihlala ngaphaya kwedolophu.,Akekho umntu onokundinceda. ,contradiction
"Kodwa bahlukana phakathi, ngathi yayingobani na abangobasemabaleni ezandla , nokuba ngoobani na abantwana bendlu kwakunjalo--",Bonke bagqiba kwelokuba bazakusebenza emabaleni. ,contradiction
"Kodwa bahlukana phakathi, ngathi yayingobani na abangobasemabaleni ezandla , nokuba ngoobani na abantwana bendlu kwakunjalo--",Abakwazanga ukugqiba ukuba ngubani owayesisandla sebala kunye nowasendlwini. ,entailment
"Kodwa bahlukana phakathi, ngathi yayingobani na abangobasemabaleni ezandla , nokuba ngoobani na abantwana bendlu kwakunjalo--",Abakwazanga ukuvumelana ukuba ngubani omakasebenze kwindawo yelaphu kunye nomakorobhe phantsi. ,neutral
"Ndithetha ukuba babenabantwana abahlanu, omnye wabo wasweleka.",Bonke abantwana babo basinda. ,contradiction
"Ndithetha ukuba babenabantwana abahlanu, omnye wabo wasweleka.",Omnye umntwana kwabaHlanu wasweleka . ,entailment
