question	answer
Embaata za Janet zibiika amagi 16 buli lunaku. Alya amagi asatu buli lunaku ku kyenkya n'afumbisa amalala ana g'ateeka mu bukkeeki bwa muffin bw'akolera mikwano gye. Agasigadde agatunda mu katale k'abalimi n'abalunzi buli lunaku nga buli ggi alitunda $2. Afuna ssente mmeka buli lunaku mu katale k'abalimi n'abalunzi?	18
Egganduula emalawo jjoola z'olugoye lwa bbulu 2 n'ekitundu ezenkana ne jjoola z'olugoye olweru. Emalawo omugatte gwa jjoola mmeka? 	3
Josh yasalawo okugezaako okugula ennyumba etali ku mutindo  agiteekemu ssente, amale egitunde. Yagula ennyumba ku $80,000 n'asaasaanya $50,000 ng'agiddaabiriza. Kino kyayongera ku muwendo ennyumba z'egula ebitundu150%.  Yakola amagoba ga ssente mmeka?	70000
James asalawo okudduka emisinde gy'akafubutuko emirundi  esatu esatu ng'akikora emirundi 3 buli wiiki. buli lufubutuka adduka mmita 60. Adduka mmita mmeka omugatte buli wiiki?	540
Buli lunaku, Wendi buli nkoko ye agiriisa ebikopo bisatu eby'emmere y'enkoko entabule, nga mulimu obusigo, obuwuka n'ebivaavava okuziyamba okubeera ennamu obulungi. Enkoko zino azigabula emirundi esatu esatu. Kumakya ekisibo ky'enkoko ze akiwa ebikopo by'emmere 15. Emisana, enkoko ze n'azongera ebikopo by'emmere 25. Ebikopo bimeka by'alina okuwa enkoko ze mu lulya olusembayo mu lunaku ssinga ekisibo kya Wendi kiba kirimu enkoko 20?	20
Kylar yagenda ku dduuka okugula endabirwamu za kalina ye empya. Endabirwamu emu egula $5 wabula buli ndabirwamu eyookubiri egula ebitundu 60% ez'ebbeeyi eyo. Kylar ayagala kugula endabirwamu 16. Yeetaaga ssente mmeka okuzisasula?	64
Toulouse alina endiga ezikubisa mu za Charleston emirundi ebiri. Charleston alina endiga ezikubisa mu za Seattle emirundi 4.  Endiga.  Toulouse, Charleston, ne Seattle baba n'omugatte gwa ndiga mmeka bwe kiba nti Seattle alina endiga 20?	260
Carla awanula ekiwandiiko kya GB 200. Mu ngeri eya bulijjo awanula GB 2 buli ddakiika, wabula bw'atuuka ku 40% ng'ekiwandiiko kiwanulwa, kompyuta ye ne yeggyako, esobole okuddako ng'ekoze enkyukakyuka empya ne kitwala eddakiika 20. Oluvannyuma Carla alina okuddamu okuwanula ekiwandiiko okuva we kitandikira. Kinaatwala buwanvu ki okuwanula ekiwandiiko?	160
John avuga okumala essaawa 3 ku misinde gya mmayiro 60 buli ssaawa naye n'adda emabega kubanga akizuula nti yeerabidde ekintu eky'amakulu ennyo awaka. Agezaako okutuuka awaka mu ssaawa 4 naye amala essaawa 2 ezisooka mu kalippagano k'ebidduka ak'amaanyi. Amala ekitundu ky'essaawa ekiddako ng'avugira ku misinde gya mmayiro 30 buli ssaawa nga tannafuna busobozi kuvuga misinde gya mmayiro 80 buli ssaawa z'avugira mu budde obuba busigaddeyo okuweza essaawa 4. Aba asigazzaayo bbanga ki okutuuka awaka we ziwerera essaawa 4?	45
Ensasula ya Eliza eya buli ssaawa mu ssaawa 40 ezisooka buli wiiki eri $10. Aweebwa ne ssente endala ez'obudde bw'aba ayisizzaamu ng'akola ezikubisa emirundi 1.2 mu ezo z'afuna mu budde bwe. Singa Eliza aba yakoze essaawa 45 mu wiiki eno, aba yayingizza ssente mmeka mu wiiki eno?	460
