question	choices	answer	subject
valeur ya p eza Nini na 24=2p ?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics
Mama Perez atamboli na nyoso kilometele 40 na mikolo 5. Mikolo nyoso, asalaka ntaka ya ndenge moko na kilometele. Motuya boni na kilometele mama Perez atamboli na mikolo nyoso ?	['5', '7', '8', '9']	C	elementary_mathematics
Sala calcule ya quotien ya -40 ÷(-8).	['1 likolo ya 5', '-5', '-1 likolo ya 5', '5']	D	elementary_mathematics
Ekipi ya football ezali na mosolo ya 90.00 $ mpo na kozwa motope ya football. Soki motope moko ya football ezali na ntalo ya 15,60 $, motango boni ya nsuka ya mitope oyo ekipi akoki komipesa ?	['4', '5', '6', '7']	B	elementary_mathematics
Na baninga misato, bokoti concert .ko yabe ete Talo nionso ya ba billet 4 ezali 112$. koma PE bongisa ekwation PONA ko yeba Talo ya billet b	['4b = 112; 448 $', '4b= 112; 28 $', 'b sur 4 = 112; 448 $', 'b sur 4 = 112; 28 $']	B	elementary_mathematics
Sala calcul oyo elandi : 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1, mpo na koyanola na motuna elandi : motuya nini ya operation ?	['9', '11', '26', '32']	C	elementary_mathematics
Koma 1 na 1 likolo 11 na lolenge ya motango mobimba to mixte na ndenge ya moke makasi.	['1,1 likolo 11', '11 likolo 11', '12 likolo 11', '11 likolo 12']	C	elementary_mathematics
bimisa eyano ya bokaboli ya 2,16 ÷0.06	['3,6', '36', '0, 01272', '12,72']	B	elementary_mathematics
pesa ba keseni kati ya 142,76 PE 16,5	['159,26', '2,224', '14,111', '126,26']	D	elementary_mathematics
bimisa eyano ya bokaboli ya 5,04/0,7	['0,72', '702', '10, 0571', '7,2']	D	elementary_mathematics
Jimmy na Kima bakeyi mobembo. Batamboli mpo na mikolo misato. Mokolo ya liboso, basali 182 kilometele. Mokolo ya mibale, batamboli 439 kilometele. Mokolo ya misato, basali 217 kilometele. Operation ya pembeni nini ya kokanisa motango ya kilometele ya kotambola ya Jimmy na Kima na ntango ya mobembo na bango ?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics
pesa Oyo etikali na bo kaboli ya 21 na 7?	['21', '7', '1', 'ata Moko te ya bi yano Oyo epesami']	D	elementary_mathematics
Maddie akatisi 56 kilometele na velo na mikolo 7. Atambolaka motango ya kilometele moko mikolo nyoso. Motango boni ya kilometele ya kotambola ya Maddie mikolo nyoso ?	['8', '9', '49', '63']	A	elementary_mathematics
Tiya motango ya kolakisa bosolo ya kondima ya 48 likolo 88 = ? likolo 11.	['6', '11', '8', '5']	A	elementary_mathematics
Kopesa ya kitoko nini kati na kolakisa oyo elandi nsima ?	['Biteni 10 ya sabuni na 23,20 $', 'Biteni 16 ya sabuni na 36, 48 $', 'Biteni 13 ya sabuni na 29,51 $', 'Biteni 12 ya sabuni na 27,60 $']	C	elementary_mathematics
Fréquence ya motema ya Trish na kopema ekokani na kobeta 50 na minute. Mpo na minute nyoso ya mosala, abakisi kobeta 5 na minute. Ngonga boni esengeli na ye kokoma na rythme ya kobeta 120 na minute ?	['5 minutes', '14 minutes', '34 minutes', '70 minutes']	B	elementary_mathematics
